id,name,gender,country,birth,death,complexity
61,Сильвестр Щедрин,1,,,,3
62,Эрнст Людвиг Кирхнер,1,,,,3
63,Фредерик Лейтон,1,,,,2
64,Софья Сухово-Кобылина,2,,,,3
65,Федерико Дзандоменеги,1,,,,3
864,Харальд Слот-Мёллер,1,,,,3
865,Иоганн Георг Мейер,1,,,,3
866,Дин Корнуэлл,1,,,,3
867,Фернан Кнопф,1,,,,3
868,Луиза Аббема,2,,,,3
837,Морис Утрилло,1,France,1883,1955,3
844,Луис Дузетт,1,Germany,1834,1924,3
850,Мануэль Гарсия Родригес,1,Spain,1863,1925,3
863,Хоакин Соролья,1,Spain,1863,1923,2
877,Андрей Рублёв,1,Russia,1360,1428,2
887,Микеланджело Меризи де Караваджо,1,Italy,1571,1610,1
900,Уильям Кейт,1,USA,1838,1911,3
905,Фёдор Решетников,1,Russia,1906,1988,1
66,Грассе Эжен,1,,,,3
67,Фрэнсис Бэкон,1,,,,2
68,Ганс Рудольф Гигер,1,,,,3
69,Вильгельм Крей,1,,,,3
70,Уильям Моррис,1,,,,3
72,Джакомо Гроссо,1,,,,3
73,Жан Батист Симеон Шарден,1,,,,3
74,Маркус Стоун,1,,,,3
75,Бернардино Мэй,1,Italy,1612,,3
76,Михаэль Вольгемут,1,,,,3
77,Питер Брейгель Старший,1,,,,1
79,Матео Серезо,1,,,,3
80,Уильям Меррит Чейз,1,,,,3
81,Грант Вуд,1,,,,1
82,Кириак Костанди,1,,,,3
83,Дэвид Линч,1,,,,3
84,Жорж Моро де Тур,1,,,,3
85,Эжен Делакруа,1,,,,1
86,Алексей Корзухин,1,,,,3
87,Поль Мерварт,1,,,,3
88,Джузеппе Чиаранфи,1,,,,3
89,Людвиг Абелин Шу,1,,,,3
90,Пьеро ди Козимо,1,,,,3
91,Чарльз Батлер,1,,,,3
92,Герхард Мюнте,1,,,,3
94,Марк Шагал,1,,,,1
95,Валентин Сидоров,1,,,,3
96,Тициан Вечеллио,1,,,,1
97,Пауль Клее,1,,,,3
98,Франц Теодор Эрни,1,,,,3
99,Поль Дельво,1,,,,3
100,Франс Снейдерс,1,,,,3
101,Маттиас Грюневальд,1,,,,3
102,Карл Калер,1,,,,3
103,Эдуард фон Грютцнер,1,,,,3
104,Пьетро Перуджино,1,,,,3
106,Рaфаэль Санти,1,,,,1
107,Орас Верне,1,,,,3
108,Петрус Ван Шендель,1,,,,3
109,Луиджи Крозио,1,,,,3
110,Макс Бекманн,1,,,,3
111,Раймундо Мадрасо,1,,,,3
112,Сальвадор Виньегра,1,,,,3
113,Леон Комерр,1,,,,3
114,Казимир Малевич,1,,,,1
115,Антонин Гудечек,1,,,,3
117,Юзеф Мехоффер,1,,,,3
118,Пая Йованович,1,Serbia,1850,,3
119,Андрей Шильдер,1,,,,3
120,Максимилиан Пирнер,1,,,,3
121,Томас Икинс,1,,,,3
122,Карл Теодор фон Пилоти,1,,,,3
123,Карл Густав Хелльквист,1,,,,3
125,Станислав Жуковский,1,,,,3
126,Эжен-Луи Лами,1,France,1800,,3
127,Валентин Серов,1,,,,1
128,Альбер Марке,1,,,,3
130,Ян де Баен,1,,,,3
131,Пьеро делла Франческа,1,,,,3
132,Эдвин Блэшфилд,1,,,,3
133,Филип Ричард Моррис,1,,,,3
134,Пётр Заболотский,1,,,,3
135,Фредерик Уильям Элвелл,1,,,,3
136,Альбрехт Дюрер,1,,,,1
137,Илья Глазунов,1,,,,3
138,Эмиль Пьер Мецмахер,1,,,,3
140,Дирк ван Бабюрен,1,,,,3
141,Теодор Жерар,1,,1929,,3
142,Анри-Поль Мотт,1,,,,3
143,Леон Бакст,1,,,,2
144,Берталан Секей,1,,,,3
145,Пабло Пикассо,1,,,,1
146,Гаральд Сольберг,1,,,,3
147,Йозеф Манес,1,,,,3
